nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Eluh Rahayu,IPA,SMKN 2 Baleendah,IKP,10/20/2023,11/20/2023,Selesai,SMA,84,"Informatika, Biologi, Fisika, Bahasa Inggris, Kimia","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Video Animasi
Fitria Maryadi,IPA,SMKN 1 Katapang,IKP,10/17/2023,12/25/2023,Selesai,SMA,82,"Matematika, Biologi, Fisika, Bahasa Inggris, Informatika","Adobe, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Cayadi Okta,Teknik Informatika,Universitas Komputer Indonesia,IKP,10/11/2023,12/23/2023,Selesai,D3,"2,94","Jaringan Komputer, Basis Data, Struktur Data, Kecerdasan Buatan, Pemrograman Web","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,OSIS,Aplikasi Mobile
Mahesa Wahyuni,Teknik Sipil,Institut Teknologi Nasional Bandung,IKP,10/7/2023,12/22/2023,Selesai,S1,"3,44","Manajemen Konstruksi, Statika, Gambar Teknik, Mekanika Tanah, Hidrologi","PHP, Java",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Aris Pranowo,RPL,SMKN 2 Baleendah,IKP,10/5/2023,12/19/2023,Selesai,SMK,93,"Pemrograman, Sistem Operasi, PBO, Jaringan Komputer, Desain UI/UX","Excel, UI/UX",-,-,Himpunan Mahasiswa,Aplikasi Mobile
Cut Indah Mulyani,Psikologi,Universitas Langlangbuana,IKP,11/5/2023,12/17/2023,Selesai,S1,"3,62","Psikologi Klinis, Psikologi Pendidikan, Metodologi Psikologi, Konseling, Teori Kepribadian","Adobe, UI/UX",Adobe Certified,-,BEM,Penelitian Sosial
Ida Marpaung,IPA,SMAN 1 Majalaya,IKP,10/4/2023,12/29/2023,Selesai,SMA,94,"Bahasa Inggris, Informatika, Kimia, Biologi, Fisika","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,-,Website Kampus
Daryani Damanik,RPL,SMKN 1 Katapang,PERSANDIAN,10/17/2023,12/10/2023,Selesai,SMK,84,"Jaringan Komputer, Pemrograman, Basis Data, Desain UI/UX, PBO","Adobe, UI/UX",-,Magang di Telkom,-,-
Tasdik Pertiwi,Ilmu Komunikasi,Universitas Langlangbuana,PERSANDIAN,10/23/2023,12/11/2023,Selesai,S1,"3,47","Komunikasi Massa, Manajemen Media, Sosiologi Komunikasi, Public Speaking, Fotografi","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,-,-
Puti Kamila Prasasta,Sistem Informasi,Universitas Bale Bandung,PERSANDIAN,10/25/2023,11/22/2023,Selesai,D3,"3,09","Basis Data, Rekayasa Perangkat Lunak, Analisis Sistem, Pemrograman, Manajemen Proyek","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,BEM,-
Hilda Nugroho,Sistem Informasi,Universitas Komputer Indonesia,PERSANDIAN,10/20/2023,11/20/2023,Selesai,S1,"3,41","Basis Data, Rekayasa Perangkat Lunak, Pemrograman, Jaringan, Manajemen Proyek","PHP, Java",-,Magang di Telkom,OSIS,Video Animasi
Legawa Tarihoran,RPL,SMAN 1 Ciparay,PERSANDIAN,10/17/2023,12/25/2023,Selesai,SMK,78,"Pemrograman, Sistem Operasi, Desain UI/UX, Basis Data, Jaringan Komputer","Adobe, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,OSIS,Aplikasi Mobile
Cut Sarah Thamrin,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,10/11/2023,12/23/2023,Selesai,S1,"3,76","Fotografi, Komunikasi Massa, Manajemen Media, Public Speaking, Sosiologi Komunikasi","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,OSIS,Aplikasi Mobile
Okto Wijaya,Psikologi,Universitas Langlangbuana,PERSANDIAN,10/7/2023,12/22/2023,Selesai,D3,"2,88","Konseling, Teori Kepribadian, Psikologi Pendidikan, Metodologi Psikologi, Psikologi Sosial","AutoCAD, Excel",-,-,-,Website Kampus
Vega Hutapea,RPL,SMKN 1 Katapang,PERSANDIAN,10/17/2023,12/25/2023,Selesai,SMK,77,"Sistem Operasi, Desain UI/UX, Basis Data, Jaringan Komputer, PBO","Python, SQL",-,-,-,Aplikasi Mobile
Icha Najmudin,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,10/11/2023,12/23/2023,Selesai,S1,"3,6","Sosiologi Komunikasi, Fotografi, Manajemen Media, Public Speaking, Jurnalistik","Excel, UI/UX",Adobe Certified,Magang di Bank BJB,-,-
Keisha Manullang,Sistem Informasi,Politeknik Piksi Ganesha Bandung,PERSANDIAN,10/7/2023,12/22/2023,Selesai,D3,"3,46","Rekayasa Perangkat Lunak, Manajemen Proyek, Basis Data, Analisis Sistem, Pemrograman","PHP, Java",Adobe Certified,Magang di Telkom,BEM,Aplikasi Mobile
Dian Sitompul,IPA,SMKN 1 Katapang,APTIKA,10/5/2023,12/19/2023,Selesai,SMA,96,"Kimia, Fisika, Bahasa Inggris, Matematika, Biologi","Python, SQL",Microsoft Office Specialist,Magang di Telkom,BEM,Aplikasi Mobile
Raden Maryadi,IPA,SMAN 1 Ciparay,APTIKA,11/5/2023,12/17/2023,Selesai,SMA,88,"Matematika, Informatika, Biologi, Bahasa Inggris, Kimia","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Penelitian Sosial
Kani Hasanah,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,10/4/2023,12/29/2023,Selesai,D3,"3,82","Jaringan, Rekayasa Perangkat Lunak, Analisis Sistem, Basis Data, Pemrograman","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Kariman Sirait,Psikologi,Institut Teknologi Nasional Bandung,APTIKA,10/17/2023,12/10/2023,Selesai,S1,"2,96","Psikologi Klinis, Teori Kepribadian, Konseling, Psikologi Sosial, Psikologi Pendidikan","AutoCAD, Excel",Cisco CCNA,Magang di Diskominfo,OSIS,Penelitian Sosial
Danu Hidayanto,Ilmu Komunikasi,Universitas Komputer Indonesia,APTIKA,10/23/2023,12/11/2023,Selesai,S1,"3,48","Manajemen Media, Fotografi, Sosiologi Komunikasi, Public Speaking, Komunikasi Massa","PHP, Java",-,-,OSIS,Aplikasi Mobile
Kamila Pratama,Multimedia,SMAN 1 Banjaran,APTIKA,10/25/2023,11/22/2023,Selesai,SMK,94,"Fotografi, UI/UX, Animasi, Desain Grafis, Editing Video","Python, SQL",Cisco CCNA,Magang di Telkom,OSIS,-
Maimunah Hastuti,IPA,SMAN 1 Majalaya,APTIKA,10/20/2023,11/20/2023,Selesai,SMA,87,"Kimia, Biologi, Matematika, Informatika, Bahasa Inggris","PHP, Java",-,Magang di Diskominfo,Himpunan Mahasiswa,-
Hana Widiastuti,Ilmu Komunikasi,Universitas Bale Bandung,APTIKA,10/17/2023,12/25/2023,Selesai,D3,"3,13","Sosiologi Komunikasi, Fotografi, Public Speaking, Jurnalistik, Manajemen Media","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,BEM,Penelitian Sosial
Bagya Wahyudin,IPS,SMAN 1 Banjaran,APTIKA,10/11/2023,12/23/2023,Selesai,SMA,81,"Bahasa Indonesia, Sosiologi, Sejarah, Geografi, Ekonomi","Adobe, UI/UX",Microsoft Office Specialist,Magang di Telkom,-,Website Kampus
Panji Hidayat,Multimedia,SMKN 1 Katapang,APTIKA,10/7/2023,12/22/2023,Selesai,SMK,76,"Desain Grafis, Desain 3D, Animasi, Fotografi, Editing Video","AutoCAD, Excel",-,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Sutan Jayadi Usamah,Teknik Informatika,Politeknik Piksi Ganesha Bandung,SEKRE,10/5/2023,12/19/2023,Selesai,D3,"3,56","Basis Data, Kecerdasan Buatan, Jaringan Komputer, Algoritma, Pemrograman Web","Python, SQL",-,Magang di Bank BJB,BEM,Aplikasi Mobile
Belinda Tamb,RPL,SMAN 1 Banjaran,SEKRE,11/5/2023,12/17/2023,Selesai,SMK,98,"Basis Data, Jaringan Komputer, Pemrograman, PBO, Sistem Operasi","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,OSIS,Penelitian Sosial
Jaya Rahmawati,RPL,SMKN 2 Baleendah,SEKRE,10/4/2023,12/29/2023,Selesai,SMK,96,"PBO, Desain UI/UX, Jaringan Komputer, Basis Data, Pemrograman","AutoCAD, Excel",-,Magang di Telkom,BEM,-
Patricia Pudjiastuti,Teknik Informatika,Institut Teknologi Nasional Bandung,SEKRE,10/17/2023,12/10/2023,Selesai,D3,"3,67","Algoritma, Pemrograman Web, Struktur Data, Jaringan Komputer, Basis Data","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,-,Website Kampus
Puput Mandala,Psikologi,Universitas Komputer Indonesia,SEKRE,10/23/2023,12/11/2023,Selesai,D3,"3,1","Psikologi Sosial, Psikologi Klinis, Psikologi Pendidikan, Teori Kepribadian, Konseling","PHP, Java",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Atmaja Wasita,Teknik Informatika,Politeknik Piksi Ganesha Bandung,SEKRE,10/25/2023,11/22/2023,Selesai,S1,"2,86","Pemrograman Web, Algoritma, Kecerdasan Buatan, Struktur Data, Basis Data","Python, SQL",Adobe Certified,Magang di Bank BJB,Himpunan Mahasiswa,-
Widya Fujiati,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,SEKRE,10/20/2023,11/20/2023,Selesai,S1,"3,39","Manajemen Media, Sosiologi Komunikasi, Fotografi, Jurnalistik, Komunikasi Massa","Python, SQL",Microsoft Office Specialist,-,Himpunan Mahasiswa,Aplikasi Mobile
Farah Hidayat,Ilmu Komunikasi,Universitas Komputer Indonesia,SEKRE,10/17/2023,12/25/2023,Selesai,D3,"2,92","Komunikasi Massa, Jurnalistik, Fotografi, Sosiologi Komunikasi, Public Speaking","Excel, UI/UX",-,Magang di Telkom,OSIS,Website Kampus
Rika Sihombing,Multimedia,SMAN 1 Majalaya,SEKRE,10/11/2023,12/23/2023,Selesai,SMK,82,"Editing Video, Fotografi, Desain Grafis, Desain 3D, UI/UX","Python, SQL",Adobe Certified,-,-,-
Gasti Susanti,Teknik Informatika,Universitas Langlangbuana,SEKRE,10/7/2023,12/22/2023,Selesai,D3,"3,68","Pemrograman Web, Jaringan Komputer, Algoritma, Struktur Data, Kecerdasan Buatan","AutoCAD, Excel",-,Magang di Telkom,-,-
Ida Suryatmi,Multimedia,SMAN 1 Majalaya,STATISTIK,10/5/2023,12/19/2023,Selesai,SMK,76,"Desain Grafis, Editing Video, Desain 3D, UI/UX, Fotografi","AutoCAD, Excel",Adobe Certified,Magang di Bank BJB,BEM,-
Farah Puspasari,Psikologi,Politeknik Piksi Ganesha Bandung,STATISTIK,11/5/2023,12/17/2023,Selesai,D3,"3,81","Psikologi Sosial, Psikologi Klinis, Metodologi Psikologi, Teori Kepribadian, Psikologi Pendidikan","Python, SQL",-,Magang di Bank BJB,-,-
Cecep Widiastuti,IPS,SMAN 1 Banjaran,STATISTIK,10/4/2023,12/29/2023,Selesai,SMA,89,"Sejarah, Ekonomi, Sosiologi, Bahasa Indonesia, PPKn","Excel, UI/UX",Adobe Certified,-,Himpunan Mahasiswa,Website Kampus
Asmuni Mangunsong,IPS,SMAN 1 Majalaya,STATISTIK,10/17/2023,12/10/2023,Selesai,SMA,96,"Ekonomi, PPKn, Sejarah, Bahasa Indonesia, Geografi","Excel, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Rachel Gunarto,RPL,SMKN 1 Katapang,STATISTIK,10/23/2023,12/11/2023,Selesai,SMK,96,"Sistem Operasi, Basis Data, PBO, Jaringan Komputer, Pemrograman","AutoCAD, Excel",-,-,OSIS,Penelitian Sosial
Intan Tampubolon,Psikologi,Universitas Bale Bandung,STATISTIK,10/25/2023,11/22/2023,Selesai,D3,3,"Teori Kepribadian, Psikologi Pendidikan, Psikologi Klinis, Psikologi Sosial, Metodologi Psikologi","Excel, UI/UX",-,Magang di Diskominfo,OSIS,Aplikasi Mobile
Salwa Lailasari,Psikologi,Universitas Komputer Indonesia,STATISTIK,10/20/2023,11/20/2023,Selesai,D3,"3,22","Konseling, Psikologi Sosial, Teori Kepribadian, Psikologi Klinis, Psikologi Pendidikan","Python, SQL",-,-,Himpunan Mahasiswa,Penelitian Sosial
Yani Mustofa,IPS,SMAN 1 Majalaya,STATISTIK,10/17/2023,12/25/2023,Selesai,SMA,90,"Bahasa Indonesia, Sejarah, Geografi, Sosiologi, PPKn","PHP, Java",Microsoft Office Specialist,-,-,Aplikasi Mobile
Indah Prakasa,Ilmu Komunikasi,Universitas Bale Bandung,STATISTIK,10/11/2023,12/23/2023,Selesai,D3,"3,32","Manajemen Media, Sosiologi Komunikasi, Jurnalistik, Komunikasi Massa, Public Speaking","Python, SQL",Microsoft Office Specialist,Magang di Diskominfo,-,-
Oni Novitasari,RPL,SMAN 1 Ciparay,STATISTIK,10/7/2023,12/22/2023,Selesai,SMK,80,"Jaringan Komputer, Pemrograman, Basis Data, Desain UI/UX, PBO","AutoCAD, Excel",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,-
Jagapati Anggriawan,Teknik Sipil,Institut Teknologi Nasional Bandung,TIK,1/19/2024,3/27/2024,Selesai,D3,"3,21","Hidrologi, Manajemen Konstruksi, Gambar Teknik, Mekanika Tanah, Statika","PHP, Java",Cisco CCNA,Magang di Diskominfo,BEM,-
Ida Mardhiyah,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,TIK,1/21/2024,3/28/2024,Selesai,S1,"3,71","Public Speaking, Sosiologi Komunikasi, Fotografi, Manajemen Media, Jurnalistik","PHP, Java",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
Prasetya Rajata,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,TIK,1/5/2024,2/20/2024,Selesai,S1,"2,84","Fotografi, Komunikasi Massa, Jurnalistik, Manajemen Media, Public Speaking","Python, SQL",Microsoft Office Specialist,-,-,Video Animasi
Wira Sihombing,Psikologi,Politeknik Piksi Ganesha Bandung,TIK,2/5/2024,3/24/2024,Selesai,D3,"3,35","Psikologi Klinis, Psikologi Pendidikan, Metodologi Psikologi, Konseling, Teori Kepribadian","Excel, UI/UX",Adobe Certified,-,OSIS,Penelitian Sosial
Cut Hasna Pertiwi,Sistem Informasi,Universitas Bale Bandung,TIK,2/1/2024,2/25/2024,Selesai,S1,"3,72","Analisis Sistem, Manajemen Proyek, Rekayasa Perangkat Lunak, Basis Data, Pemrograman","Adobe, UI/UX",Cisco CCNA,Magang di Bank BJB,OSIS,-
Dalimin Hutasoit,Teknik Informatika,Universitas Komputer Indonesia,TIK,1/17/2024,3/25/2024,Selesai,S1,"3,01","Kecerdasan Buatan, Struktur Data, Algoritma, Pemrograman Web, Jaringan Komputer","PHP, Java",-,Magang di Diskominfo,Himpunan Mahasiswa,-
Elma Purwanti,Teknik Sipil,Politeknik Piksi Ganesha Bandung,TIK,1/18/2024,3/23/2024,Selesai,S1,"3,42","Mekanika Tanah, Gambar Teknik, Struktur Beton, Manajemen Konstruksi, Hidrologi","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,BEM,Aplikasi Mobile
Caraka Irawan,Ilmu Komunikasi,Universitas Bale Bandung,TIK,1/19/2024,3/19/2024,Selesai,D3,"3,1","Public Speaking, Jurnalistik, Manajemen Media, Sosiologi Komunikasi, Komunikasi Massa","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,-,Penelitian Sosial
Harimurti Zulaika,Multimedia,SMKN 1 Katapang,TIK,2/5/2024,3/18/2024,Selesai,SMK,96,"Animasi, Desain Grafis, UI/UX, Editing Video, Fotografi","Adobe, UI/UX",Cisco CCNA,Magang di Telkom,-,Penelitian Sosial
Gada Prayoga,Teknik Sipil,Universitas Langlangbuana,TIK,1/4/2024,3/17/2024,Selesai,D3,"3,55","Manajemen Konstruksi, Struktur Beton, Hidrologi, Mekanika Tanah, Statika","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,-
Lamar Kusmawati,Sistem Informasi,Institut Teknologi Nasional Bandung,IKP,1/2/2024,3/17/2024,Selesai,D3,"3,23","Basis Data, Jaringan, Pemrograman, Manajemen Proyek, Analisis Sistem","AutoCAD, Excel",-,Magang di Diskominfo,-,Penelitian Sosial
Shakila Firmansyah,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,IKP,1/21/2024,3/28/2024,Selesai,D3,"3,69","Sosiologi Komunikasi, Fotografi, Manajemen Media, Jurnalistik, Komunikasi Massa","Adobe, UI/UX",Adobe Certified,-,BEM,Video Animasi
Luhung Hasanah,RPL,SMAN 1 Ciparay,IKP,1/19/2024,3/27/2024,Selesai,SMK,88,"Basis Data, Desain UI/UX, PBO, Sistem Operasi, Jaringan Komputer","Excel, UI/UX",Microsoft Office Specialist,-,OSIS,Website Kampus
Gaduh Oktaviani,Teknik Informatika,Universitas Komputer Indonesia,IKP,1/21/2024,3/28/2024,Selesai,D3,"3,54","Algoritma, Basis Data, Kecerdasan Buatan, Struktur Data, Pemrograman Web","Excel, UI/UX",-,-,Himpunan Mahasiswa,Video Animasi
Danuja Prastuti,Psikologi,Universitas Bale Bandung,IKP,1/5/2024,2/20/2024,Selesai,D3,"3,31","Psikologi Pendidikan, Teori Kepribadian, Psikologi Klinis, Psikologi Sosial, Konseling","Adobe, UI/UX",Adobe Certified,Magang di Telkom,-,-
Jati Gunarto,Multimedia,SMAN 1 Majalaya,IKP,2/5/2024,3/24/2024,Selesai,SMK,81,"UI/UX, Animasi, Desain 3D, Desain Grafis, Editing Video","Adobe, UI/UX",Adobe Certified,-,BEM,Video Animasi
Dalima Purwanti,IPA,SMAN 1 Majalaya,IKP,2/1/2024,2/25/2024,Selesai,SMA,83,"Biologi, Matematika, Informatika, Bahasa Inggris, Fisika","Adobe, UI/UX",-,Magang di Diskominfo,BEM,-
Ian Lailasari,IPA,SMAN 1 Banjaran,IKP,1/17/2024,3/25/2024,Selesai,SMA,96,"Fisika, Bahasa Inggris, Matematika, Kimia, Informatika","Python, SQL",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Parman Ardianto,Ilmu Komunikasi,Universitas Bale Bandung,IKP,1/18/2024,3/23/2024,Selesai,D3,"3,39","Public Speaking, Sosiologi Komunikasi, Jurnalistik, Manajemen Media, Komunikasi Massa","Python, SQL",-,Magang di Bank BJB,OSIS,-
Fathonah Mayasari,Sistem Informasi,Universitas Bale Bandung,IKP,1/19/2024,3/19/2024,Selesai,D3,"3,58","Jaringan, Manajemen Proyek, Basis Data, Rekayasa Perangkat Lunak, Analisis Sistem","Adobe, UI/UX",-,-,-,Website Kampus
Edward Usada,RPL,SMKN 2 Baleendah,PERSANDIAN,2/5/2024,3/18/2024,Selesai,SMK,82,"Jaringan Komputer, PBO, Desain UI/UX, Pemrograman, Basis Data","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,OSIS,Website Kampus
Amelia Padmasari,Ilmu Komunikasi,Universitas Bale Bandung,PERSANDIAN,1/4/2024,3/17/2024,Selesai,D3,"3,81","Fotografi, Komunikasi Massa, Jurnalistik, Sosiologi Komunikasi, Public Speaking","PHP, Java",-,-,Himpunan Mahasiswa,Website Kampus
Diah Wibisono,IPA,SMAN 1 Majalaya,PERSANDIAN,1/2/2024,3/17/2024,Selesai,SMA,87,"Bahasa Inggris, Matematika, Biologi, Informatika, Fisika","AutoCAD, Excel",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Hendra Budiman,IPS,SMKN 1 Katapang,PERSANDIAN,1/21/2024,3/28/2024,Selesai,SMA,90,"Sejarah, Ekonomi, Sosiologi, PPKn, Geografi","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,BEM,Penelitian Sosial
Fathonah Nugroho,Multimedia,SMKN 2 Baleendah,PERSANDIAN,1/5/2024,2/20/2024,Selesai,SMK,81,"Animasi, Desain Grafis, UI/UX, Editing Video, Fotografi","PHP, Java",-,-,Himpunan Mahasiswa,Aplikasi Mobile
Heru Iswahyudi,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,1/17/2024,3/20/2024,Selesai,S1,"2,98","Public Speaking, Sosiologi Komunikasi, Manajemen Media, Fotografi, Jurnalistik","Excel, UI/UX",Microsoft Office Specialist,Magang di Telkom,-,-
Eli Siregar,Psikologi,Politeknik Piksi Ganesha Bandung,PERSANDIAN,1/19/2024,3/27/2024,Selesai,D3,"3,59","Psikologi Pendidikan, Psikologi Klinis, Psikologi Sosial, Teori Kepribadian, Metodologi Psikologi","Excel, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Farah Nashiruddin,Teknik Sipil,Universitas Langlangbuana,PERSANDIAN,1/21/2024,3/28/2024,Selesai,S1,"3,59","Manajemen Konstruksi, Gambar Teknik, Struktur Beton, Mekanika Tanah, Statika","AutoCAD, Excel",-,Magang di Telkom,-,Video Animasi
Karsa Puspita,Ilmu Komunikasi,Universitas Langlangbuana,PERSANDIAN,1/5/2024,2/20/2024,Selesai,D3,"3,61","Komunikasi Massa, Public Speaking, Jurnalistik, Sosiologi Komunikasi, Fotografi","Adobe, UI/UX",Microsoft Office Specialist,-,BEM,-
Indah Sitorus,Ilmu Komunikasi,Universitas Langlangbuana,PERSANDIAN,2/5/2024,3/24/2024,Selesai,S1,"3,39","Komunikasi Massa, Public Speaking, Jurnalistik, Fotografi, Sosiologi Komunikasi","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Dalimin Adriansyah,Sistem Informasi,Institut Teknologi Nasional Bandung,APTIKA,2/1/2024,2/25/2024,Selesai,D3,"3,57","Pemrograman, Rekayasa Perangkat Lunak, Jaringan, Analisis Sistem, Basis Data","PHP, Java",Cisco CCNA,Magang di Telkom,-,Aplikasi Mobile
Elma Hassanah,IPA,SMKN 1 Katapang,APTIKA,1/17/2024,3/25/2024,Selesai,SMA,80,"Biologi, Fisika, Bahasa Inggris, Informatika, Kimia","Adobe, UI/UX",-,Magang di Telkom,OSIS,Website Kampus
Laras Hartati,Psikologi,Institut Teknologi Nasional Bandung,APTIKA,1/18/2024,3/23/2024,Selesai,S1,"3,43","Konseling, Psikologi Pendidikan, Teori Kepribadian, Psikologi Sosial, Metodologi Psikologi","Excel, UI/UX",-,Magang di Telkom,OSIS,Video Animasi
Qori Siregar,Teknik Sipil,Politeknik Piksi Ganesha Bandung,APTIKA,1/19/2024,3/19/2024,Selesai,S1,"3,12","Hidrologi, Manajemen Konstruksi, Struktur Beton, Statika, Gambar Teknik","Excel, UI/UX",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Anita Najmudin,Teknik Sipil,Institut Teknologi Nasional Bandung,APTIKA,2/5/2024,3/18/2024,Selesai,S1,"3,38","Manajemen Konstruksi, Hidrologi, Struktur Beton, Gambar Teknik, Mekanika Tanah","PHP, Java",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Video Animasi
Mustofa Nugroho,Multimedia,SMKN 2 Baleendah,APTIKA,1/4/2024,3/17/2024,Selesai,SMK,91,"Desain Grafis, Desain 3D, Editing Video, Animasi, UI/UX","Excel, UI/UX",Cisco CCNA,Magang di Telkom,-,Aplikasi Mobile
Unggul Astuti,IPA,SMAN 1 Majalaya,APTIKA,1/2/2024,3/17/2024,Selesai,SMA,82,"Fisika, Bahasa Inggris, Informatika, Matematika, Biologi","Python, SQL",-,Magang di Diskominfo,-,-
Zelda Mayasari,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,APTIKA,1/21/2024,3/28/2024,Selesai,S1,"2,9","Manajemen Media, Jurnalistik, Fotografi, Komunikasi Massa, Sosiologi Komunikasi","Excel, UI/UX",-,Magang di Diskominfo,-,Website Kampus
Padmi Hassanah,Teknik Informatika,Politeknik Piksi Ganesha Bandung,APTIKA,1/19/2024,3/27/2024,Selesai,S1,"3,53","Jaringan Komputer, Pemrograman Web, Algoritma, Basis Data, Struktur Data","Excel, UI/UX",Adobe Certified,Magang di Bank BJB,BEM,Aplikasi Mobile
Ozy Zulkarnain,Sistem Informasi,Universitas Bale Bandung,APTIKA,1/21/2024,3/28/2024,Selesai,S1,"2,75","Jaringan, Rekayasa Perangkat Lunak, Manajemen Proyek, Pemrograman, Basis Data","AutoCAD, Excel",-,-,BEM,Aplikasi Mobile
Oliva Safitri,Teknik Sipil,Universitas Langlangbuana,SEKRE,1/5/2024,2/20/2024,Selesai,S1,"3,43","Mekanika Tanah, Statika, Gambar Teknik, Hidrologi, Manajemen Konstruksi","AutoCAD, Excel",-,Magang di Diskominfo,-,Website Kampus
Anastasia Farida,IPA,SMAN 1 Majalaya,SEKRE,2/5/2024,3/24/2024,Selesai,SMA,80,"Biologi, Informatika, Kimia, Matematika, Fisika","Adobe, UI/UX",-,Magang di Diskominfo,OSIS,Video Animasi
Karimah Nababan,Ilmu Komunikasi,Universitas Komputer Indonesia,SEKRE,2/1/2024,2/25/2024,Selesai,S1,"3,67","Public Speaking, Manajemen Media, Komunikasi Massa, Sosiologi Komunikasi, Fotografi","Python, SQL",Cisco CCNA,Magang di Telkom,OSIS,Aplikasi Mobile
Calista Lazuardi,Sistem Informasi,Politeknik Piksi Ganesha Bandung,SEKRE,1/17/2024,3/25/2024,Selesai,S1,"2,92","Jaringan, Basis Data, Manajemen Proyek, Analisis Sistem, Pemrograman","Python, SQL",Adobe Certified,Magang di Diskominfo,BEM,Video Animasi
Ophelia Pratama,Multimedia,SMAN 1 Banjaran,SEKRE,1/18/2024,3/23/2024,Selesai,SMK,95,"Fotografi, Desain 3D, UI/UX, Editing Video, Desain Grafis","Excel, UI/UX",Cisco CCNA,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Najam Safitri,RPL,SMAN 1 Majalaya,SEKRE,1/19/2024,3/19/2024,Selesai,SMK,87,"Sistem Operasi, Basis Data, Jaringan Komputer, Desain UI/UX, Pemrograman","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Aplikasi Mobile
Yessi Maryati,Multimedia,SMKN 2 Baleendah,SEKRE,2/5/2024,3/18/2024,Selesai,SMK,76,"Desain Grafis, Fotografi, UI/UX, Animasi, Desain 3D","PHP, Java",Microsoft Office Specialist,Magang di Telkom,BEM,-
Teddy Santoso,Teknik Informatika,Politeknik Piksi Ganesha Bandung,SEKRE,1/4/2024,3/17/2024,Selesai,D3,"3,05","Basis Data, Jaringan Komputer, Struktur Data, Kecerdasan Buatan, Pemrograman Web","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
Gading Hutasoit,Psikologi,Institut Teknologi Nasional Bandung,SEKRE,1/2/2024,3/17/2024,Selesai,D3,"3,03","Psikologi Klinis, Psikologi Sosial, Konseling, Metodologi Psikologi, Teori Kepribadian","Python, SQL",Cisco CCNA,-,OSIS,Video Animasi
Nova Haryanto,RPL,SMKN 1 Katapang,SEKRE,1/21/2024,3/28/2024,Selesai,SMK,83,"Desain UI/UX, Basis Data, Pemrograman, Jaringan Komputer, Sistem Operasi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Bank BJB,OSIS,-
